Month,Day,Hebrew Day,Layer 10,Layer 11,Layer 12,General
אפריל,30.0,ד,"יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה","יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה","יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה","יום הזיכרון לחללי מערכות ישראל
 ונפגעי פעולות האיבה"
מאי,1.0,ה,יום העצמאות,יום העצמאות,יום העצמאות,יום העצמאות
מאי,2.0,ו,,,,
מאי,3.0,ש,,,,
מאי,4.0,א,,,,
מאי,5.0,ב,,,,בגרות בלשון
מאי,6.0,ג,,,,
מאי,7.0,ד,,,,בגרות ברוסית
מאי,8.0,ה,,צו בצוותא צעירים,,
מאי,9.0,ו,,,,
מאי,10.0,ש,,,,
מאי,11.0,א,,,,
מאי,12.0,ב,,,,בגרות במתמטיקה
מאי,13.0,ג,,,,בגרות במתמטיקה
מאי,14.0,ד,,,,
מאי,15.0,ה,,,,
מאי,16.0,ו,,,,"ל""ג בעומר"
מאי,17.0,ש,,,,
מאי,18.0,א,,,,
מאי,19.0,ב,,,,בגרות באנגלית
מאי,20.0,ג,,,,בגרות באנגלית
מאי,21.0,ד,,,,
מאי,22.0,ה,,,,בגרות בביולוגיה
מאי,23.0,ו,,,,
מאי,24.0,ש,,,,
מאי,25.0,א,,,מסיבת סיום ,
מאי,26.0,ב,,,,יום ירושלים
מאי,27.0,ג,,,,"בגרות מגמות 
בגרות מדעי המחשב


"
מאי,28.0,ד,,,,
מאי,29.0,ה,,,,
מאי,30.0,ו,,,,
מאי,31.0,ש,,,,
יוני,1.0,א,ערב שבועות ,ערב שבועות ,ערב שבועות ,ערב שבועות 
יוני,2.0,ב,חג השבועות,חג השבועות,חג השבועות,חג השבועות
יוני,3.0,ג,,,,אסרו חג שבועות
יוני,4.0,ד,,,,
יוני,5.0,ה,,,,
יוני,6.0,ו,,,,"בגרות בתנ""ך"
יוני,7.0,ש,,,,
יוני,8.0,א,,,,
יוני,9.0,ב,,,,
יוני,10.0,ג,,,,סיום מחצית ב'
יוני,11.0,ד,,,,
יוני,12.0,ה,,,,"בגרות מגמות 
בגרות בכימיה


"
יוני,13.0,ו,,,,
יוני,14.0,ש,,,,
יוני,15.0,א,,,,
יוני,16.0,ב,,,,בגרות בהיסטוריה
יוני,17.0,ג,,,,בגרות בפיזיקה - מעבדת חקר
יוני,18.0,ד,,,,
יוני,19.0,ה,,,,בגרות מגמות
יוני,20.0,ו,"סיום שנת הלימודים תשפ""ה",,,
יוני,21.0,ש,,,,
יוני,22.0,א,,,,
יוני,23.0,ב,,,,"בגרות בפיזיקה ובמוט""ל"
יוני,24.0,ג,,,,
יוני,25.0,ד,,,,
יוני,26.0,ה,,,,בגרות מועד ב' בלשון
יוני,27.0,ו,,,,
יוני,28.0,ש,,,,
יוני,29.0,א,,,,
יוני,30.0,ב,,,,בגרות מועד ב' באנגלית
יולי,1.0,ג,,,,
יולי,2.0,ד,,,,בגרות מועד ב' במתמטיקה
יולי,3.0,ה,,,,
יולי,4.0,ו,,,,
יולי,5.0,ש,,,,
יולי,6.0,א,,,,
יולי,7.0,ב,,,,
יולי,8.0,ג,,,,
יולי,9.0,ד,,,,
יולי,10.0,ה,,,,
יולי,11.0,ו,,,,
יולי,12.0,ש,,,,
יולי,13.0,א,,,,"צום י""ז בתמוז"
יולי,14.0,ב,,,,
יולי,15.0,ג,,,,
יולי,16.0,ד,,,,
יולי,17.0,ה,,,,
יולי,18.0,ו,,,,
יולי,19.0,ש,,,,
יולי,20.0,א,,,,
יולי,21.0,ב,,,,
יולי,22.0,ג,,,,
יולי,23.0,ד,,,,
יולי,24.0,ה,,,,
יולי,25.0,ו,,,,
יולי,26.0,ש,,,,
יולי,27.0,א,,,,
יולי,28.0,ב,,,,
יולי,29.0,ג,,,,
יולי,30.0,ד,,,,
יולי,31.0,ה,,,,
